Trimestre,PIB,Ms,TC,,TC est
1994-I,3.34,17.47,3.1717,,-2.134031449
1994-II,5.91,20.21,3.3426,,-2.092892628
1994-III,5.33,21.64,3.3945,,-2.080409788
1994-IV,5.15,25.73,3.6221,,-2.025632902
1995-I,-1.49,0.65,5.9941,,-1.454743517
1995-II,-9.07,-13.18,6.1512,,-1.416933989
1995-III,-7.54,-10.00,6.2128,,-1.40210861
1995-IV,-6.89,-11.19,7.3571,,-1.126707951
1996-I,2.32,9.60,7.5258,,-1.086114653
1996-II,7.90,25.70,7.4841,,-1.096142642
1996-III,7.96,27.77,7.5592,,-1.078068195
1996-IV,9.00,30.63,7.8312,,-1.012605485
1997-I,4.19,18.02,7.8629,,-1.004992236
1997-II,8.43,25.18,7.9192,,-0.991442418
1997-III,7.80,24.74,7.8145,,-1.016632725
1997-IV,6.93,22.57,8.0801,,-0.952718336
1998-I,8.88,26.97,8.4216,,-0.870520919
1998-II,5.01,15.76,8.6599,,-0.813168846
1998-III,4.95,8.92,9.4772,,-0.616467842
1998-IV,2.12,7.93,10.0139,,-0.487291303
1999-I,2.30,4.26,9.9590,,-0.500504181
1999-II,2.33,11.59,9.4486,,-0.623351054
1999-III,2.95,16.86,9.3675,,-0.642877553
1999-IV,3.42,19.44,9.4612,,-0.620326612
2000-I,5.16,25.92,9.4035,,-0.634205349
2000-II,5.52,22.71,9.5699,,-0.594165595
2000-III,5.55,23.78,9.3545,,-0.645998263
2000-IV,3.57,19.84,9.4963,,-0.611871012
2001-I,0.56,6.74,9.6959,,-0.563840958
2001-II,-0.21,0.10,9.1908,,-0.685396225
2001-III,-1.16,-9.09,9.2300,,-0.675953871
2001-IV,-0.78,-9.75,9.2468,,-0.671918608
2002-I,-2.97,-8.94,9.1135,,-0.704008172
2002-II,1.12,1.07,9.4677,,-0.618746201
2002-III,0.25,5.21,9.8925,,-0.516516873
2002-IV,1.42,3.34,10.1688,,-0.450011252
2003-I,3.12,2.80,10.8181,,-0.293751121
2003-II,0.54,-2.53,10.4552,,-0.381090892
2003-III,0.50,0.11,10.7104,,-0.319679489
2003-IV,1.69,4.12,11.1854,,-0.205352396
2004-I,3.51,11.55,10.9806,,-0.254641966
2004-II,4.17,15.79,11.3866,,-0.156929244
2004-III,3.73,15.94,11.4501,,-0.141638567
2004-IV,4.26,17.79,11.3270,,-0.171281301
2005-I,0.77,11.56,11.1796,,-0.206740269
2005-II,2.71,12.67,10.9770,,-0.255516406
2005-III,2.56,12.14,10.7147,,-0.318644601
2005-IV,3.13,14.17,10.7124,,-0.319182101
2006-I,5.64,19.17,10.5884,,-0.349033417
2006-II,4.22,16.97,11.1688,,-0.209339524
2006-III,4.74,17.70,10.9521,,-0.26150111
2006-IV,3.46,9.15,10.8906,,-0.276294399
2007-I,2.03,7.92,11.0186,,-0.245488417
2007-II,1.99,9.44,10.8812,,-0.278556713
2007-III,2.41,10.49,10.9608,,-0.259399243
2007-IV,2.73,12.24,10.8525,,-0.285480036
2008-I,1.18,14.36,10.8071,,-0.296406533
2008-II,2.62,14.73,10.4319,,-0.386698543
2008-III,1.33,16.83,10.3118,,-0.415603218
2008-IV,-0.53,-6.38,13.0121,,0.234274629
2009-I,-5.57,-27.57,14.3797,,0.563433329
2009-II,-8.93,-33.27,13.3299,,0.310760104
2009-III,-4.99,-27.78,13.2598,,0.29390506
2009-IV,-1.60,-5.79,13.0731,,0.248955604
2010-I,4.51,27.46,12.7844,,0.179489721
2010-II,7.03,39.51,12.5560,,0.124504253
2010-III,4.84,26.97,12.8006,,0.183372558
2010-IV,4.14,22.40,12.3920,,0.085050134
2011-I,3.69,20.64,12.0721,,0.008043204
2011-II,2.76,17.82,11.7296,,-0.074378841
2011-III,4.05,18.15,12.2842,,0.0590977
2011-IV,4.13,9.97,13.6317,,0.383402854
2012-I,4.81,10.03,13.0034,,0.232188807
2012-II,3.99,5.56,13.5419,,0.36178251
2012-III,2.75,0.49,13.1721,,0.272790128
2012-IV,3.09,7.20,12.9442,,0.217941041
2013-I,0.64,1.64,12.6593,,0.149373665
2013-II,2.09,4.97,12.4816,,0.106606299
2013-III,1.46,5.26,12.9177,,0.211571262
2013-IV,1.21,-0.48,13.0299,,0.238566608
2014-I,2.81,3.04,13.2340,,0.287687707
2014-II,2.33,3.38,12.9984,,0.230985448
2014-III,2.87,5.72,13.1151,,0.259071839
2014-IV,3.37,7.41,13.8488,,0.435660709
2015-I,3.39,0.59,14.9392,,0.698073117
2015-II,3.09,-0.87,15.3180,,0.78924759
2015-III,4.10,-0.27,16.4259,,1.055879775
2015-IV,2.63,-3.97,16.7501,,1.133913572
2016-I,2.73,-3.75,18.0652,,1.45041294
2016-II,3.01,-3.17,18.0797,,1.453910702
2016-III,1.69,-2.34,18.7418,,1.613267476
2016-IV,3.08,0.88,19.8228,,1.873425592
2017-I,3.43,9.37,20.3552,,2.001551198
2017-II,1.72,6.35,18.5692,,1.571711491
2017-III,1.57,7.74,17.8221,,1.391905643
2017-IV,1.78,10.97,18.9466,,1.662541001
2018-I,1.51,9.79,18.7496,,1.615136693
2018-II,3.25,13.26,19.4055,,1.772985258
2018-III,2.82,10.97,18.9765,,1.669745108
2018-IV,1.25,7.92,19.8413,,1.877886042
2019-I,1.13,2.66,19.2093,,1.725781509
2019-II,-1.15,-2.03,19.1306,,1.706840644
2019-III,-0.42,-1.95,19.4341,,1.779868469
2019-IV,-0.73,-5.92,19.2679,,1.73987685
2020-I,-1.33,-4.61,19.9341,,1.900220378
2020-II,-18.68,-33.84,23.3372,,2.719250337
,,,,,
media,,,12.0386,,
desv est,,,4.155037263,,
